chr,block,sample,startpos,endpos,hapgroup,Hex_Code
1,0,207,56073,652006,207,#01aeef
1,0,807,56073,652006,207,#01aeef
1,0,29MIBZ2,56073,652006,207,#01aeef
1,0,83IBI3,56073,652006,207,#01aeef
1,0,B47,56073,652006,207,#01aeef
1,0,FAPW,56073,652006,207,#01aeef
1,0,IBC2,56073,652006,207,#01aeef
1,0,L127,56073,652006,207,#01aeef
1,0,L135,56073,652006,207,#01aeef
1,0,LH1,56073,652006,207,#01aeef
1,0,LH162,56073,652006,207,#01aeef
1,0,LIBC4,56073,652006,207,#01aeef
1,0,OQ603,56073,652006,207,#01aeef
1,0,PHG39,56073,652006,207,#01aeef
1,0,PHG50,56073,652006,207,#01aeef
1,0,PHH93,56073,652006,207,#01aeef
1,0,PHJ75,56073,652006,207,#01aeef
1,0,PHK42,56073,652006,207,#01aeef
1,0,PHM10,56073,652006,207,#01aeef
1,0,PHN11,56073,652006,207,#01aeef
1,0,PHN29,56073,652006,207,#01aeef
1,0,PHN82,56073,652006,207,#01aeef
1,0,PHP55,56073,652006,207,#01aeef
1,0,PHP60,56073,652006,207,#01aeef
1,0,PHP76,56073,652006,207,#01aeef
1,0,PHP85,56073,652006,207,#01aeef
1,0,PHR25,56073,652006,207,#01aeef
1,0,PHR30,56073,652006,207,#01aeef
1,0,PHR63,56073,652006,207,#01aeef
1,0,PHT22,56073,652006,207,#01aeef
1,0,PHT55,56073,652006,207,#01aeef
1,0,PHV37,56073,652006,207,#01aeef
1,0,PHW52,56073,652006,207,#01aeef
1,0,PHW79,56073,652006,207,#01aeef
1,0,Q381,56073,652006,207,#01aeef
1,0,282set_B84,56073,652006,207,#01aeef
1,0,282set_I205,56073,652006,207,#01aeef
1,0,282set_R4,56073,652006,207,#01aeef
1,0,B37,56073,652006,207,#01aeef
1,0,B76,56073,652006,207,#01aeef
1,0,H84,56073,652006,207,#01aeef
1,0,BCC03,56073,652006,OH7,#ff6c20
1,0,OH7,56073,652006,OH7,#ff6c20
1,0,282set_W117Ht,56073,652006,OH7,#ff6c20
1,0,W22,56073,652006,W22,#94004a
1,0,282set_W182B,56073,652006,W22,#94004a
1,0,PHK93,56073,652006,PHK93,#cd3900
1,0,PHT60,56073,652006,PHK93,#cd3900
1,0,PHJ40,56073,652006,PHJ40,#df0053
1,0,PHT69,56073,652006,PHJ40,#df0053
1,0,282set_Va17,56073,652006,282set_Va17,#5a00a2
1,0,282set_Os420,56073,652006,282set_Os420,#b19e00
1,0,282set_Mt42,56073,652006,282set_Mt42,#660005
1,0,282set_CM7,56073,652006,282set_CM7,#853400
1,0,282set_B64,56073,652006,282set_B64,#ff4e72
1,0,RS710,56073,652006,RS710,#ff8a4b
1,0,Oh7B,56073,652006,B14,#FFE303
1,0,790,56073,652006,B14,#FFE303
1,0,6103,56073,652006,B14,#FFE303
1,0,78004,56073,652006,B14,#FFE303
1,0,2FACC,56073,652006,B14,#FFE303
1,0,4676A,56073,652006,B14,#FFE303
1,0,B14,56073,652006,B14,#FFE303
1,0,FBHJ,56073,652006,B14,#FFE303
1,0,LH143,56073,652006,B14,#FFE303
1,0,LH145,56073,652006,B14,#FFE303
1,0,LH190,56073,652006,B14,#FFE303
1,0,LH191,56073,652006,B14,#FFE303
1,0,LH193,56073,652006,B14,#FFE303
1,0,LH220Ht,56073,652006,B14,#FFE303
1,0,LH74,56073,652006,B14,#FFE303
1,0,NS701,56073,652006,B14,#FFE303
1,0,PHG35,56073,652006,B14,#FFE303
1,0,PHG71,56073,652006,B14,#FFE303
1,0,PHG72,56073,652006,B14,#FFE303
1,0,PHG84,56073,652006,B14,#FFE303
1,0,PHJ31,56073,652006,B14,#FFE303
1,0,PHJ33,56073,652006,B14,#FFE303
1,0,PHM57,56073,652006,B14,#FFE303
1,0,PHW03,56073,652006,B14,#FFE303
1,0,PHW30,56073,652006,B14,#FFE303
1,0,PHW43,56073,652006,B14,#FFE303
1,0,PHZ51,56073,652006,B14,#FFE303
1,0,282set_38-11Goodman-Buckler,56073,652006,B14,#FFE303
1,0,282set_A634,56073,652006,B14,#FFE303
1,0,282set_A635,56073,652006,B14,#FFE303
1,0,282set_B14A,56073,652006,B14,#FFE303
1,0,282set_B57,56073,652006,B14,#FFE303
1,0,B97,56073,652006,B14,#FFE303
1,0,282set_N28Ht,56073,652006,B14,#FFE303
1,0,282set_R177,56073,652006,B14,#FFE303
1,0,A632,56073,652006,B14,#FFE303
1,0,B68,56073,652006,B14,#FFE303
1,0,Pa91,56073,652006,B14,#FFE303
1,0,PHW17,56073,652006,PHW17,#744ffd
1,0,PHG86,56073,652006,PHG86,#005b2b
1,0,LH82,56073,652006,LH82,#3567ff
1,0,LH208,56073,652006,LH208,#93a0ff
1,0,Mo17,56073,652006,Mo17,#00c628
1,0,740,56073,652006,Mo17,#00c628
1,0,4N506,56073,652006,Mo17,#00c628
1,0,6M502,56073,652006,Mo17,#00c628
1,0,78371A,56073,652006,Mo17,#00c628
1,0,B09,56073,652006,Mo17,#00c628
1,0,E8501,56073,652006,Mo17,#00c628
1,0,J8606,56073,652006,Mo17,#00c628
1,0,LH160,56073,652006,Mo17,#00c628
1,0,LH215,56073,652006,Mo17,#00c628
1,0,LH51,56073,652006,Mo17,#00c628
1,0,LH54,56073,652006,Mo17,#00c628
1,0,LH61,56073,652006,Mo17,#00c628
1,0,LH65,56073,652006,Mo17,#00c628
1,0,Lp215D,56073,652006,Mo17,#00c628
1,0,MBNA,56073,652006,Mo17,#00c628
1,0,MBST,56073,652006,Mo17,#00c628
1,0,MM402A,56073,652006,Mo17,#00c628
1,0,PHG83,56073,652006,Mo17,#00c628
1,0,PHK35,56073,652006,Mo17,#00c628
1,0,PHR58,56073,652006,Mo17,#00c628
1,0,PHV53,56073,652006,Mo17,#00c628
1,0,PHV78,56073,652006,Mo17,#00c628
1,0,PHW51,56073,652006,Mo17,#00c628
1,0,S8326,56073,652006,Mo17,#00c628
1,0,Seagu1117,56073,652006,Mo17,#00c628
1,0,282set_C103,56073,652006,Mo17,#00c628
1,0,B73,56073,652006,B73,#520dc0
1,0,764,56073,652006,B73,#520dc0
1,0,794,56073,652006,B73,#520dc0
1,0,78010,56073,652006,B73,#520dc0
1,0,78002A,56073,652006,B73,#520dc0
1,0,87916W,56073,652006,B73,#520dc0
1,0,DJ7,56073,652006,B73,#520dc0
1,0,F42,56073,652006,B73,#520dc0
1,0,LH119,56073,652006,B73,#520dc0
1,0,LH132,56073,652006,B73,#520dc0
1,0,LH149,56073,652006,B73,#520dc0
1,0,LH192,56073,652006,B73,#520dc0
1,0,LH194,56073,652006,B73,#520dc0
1,0,LH196,56073,652006,B73,#520dc0
1,0,LH202,56073,652006,B73,#520dc0
1,0,LH205,56073,652006,B73,#520dc0
1,0,LH57,56073,652006,B73,#520dc0
1,0,LP5,56073,652006,B73,#520dc0
1,0,MDF-13D,56073,652006,B73,#520dc0
1,0,PB80,56073,652006,B73,#520dc0
1,0,PHT10,56073,652006,B73,#520dc0
1,0,S8324,56073,652006,B73,#520dc0
1,0,W8555,56073,652006,B73,#520dc0
1,0,Oh43,56073,652006,Oh43,#f20006
1,0,787,56073,652006,Oh43,#f20006
1,0,5707,56073,652006,Oh43,#f20006
1,0,3IBZ2,56073,652006,Oh43,#f20006
1,0,78551S,56073,652006,Oh43,#f20006
1,0,LH128,56073,652006,Oh43,#f20006
1,0,LH156,56073,652006,Oh43,#f20006
1,0,LH38,56073,652006,Oh43,#f20006
1,0,LH59,56073,652006,Oh43,#f20006
1,0,LH93,56073,652006,Oh43,#f20006
1,0,PHW20,56073,652006,Oh43,#f20006
1,0,PHWG5,56073,652006,Oh43,#f20006
1,0,282set_A556,56073,652006,Oh43,#f20006
1,0,282set_A619,56073,652006,Oh43,#f20006
1,0,282set_H99,56073,652006,Oh43,#f20006
1,0,282set_T8,56073,652006,Oh43,#f20006
1,0,282set_Va59,56073,652006,Oh43,#f20006
1,0,282set_Va85,56073,652006,Oh43,#f20006
1,0,Oh40B,56073,652006,Oh43,#f20006
1,0,Va26,56073,652006,Oh43,#f20006
1,0,W64A,56073,652006,LH123HT,#ef964e
1,0,L139,56073,652006,LH123HT,#ef964e
1,0,LH123HT,56073,652006,LH123HT,#ef964e
1,0,LH39,56073,652006,LH123HT,#ef964e
1,0,LH60,56073,652006,LH123HT,#ef964e
1,0,LH85,56073,652006,LH123HT,#ef964e
1,0,MBSJ,56073,652006,LH123HT,#ef964e
1,0,PHBA6,56073,652006,LH123HT,#ef964e
1,0,PHG47,56073,652006,LH123HT,#ef964e
1,0,PHM81,56073,652006,LH123HT,#ef964e
1,0,PHN37,56073,652006,LH123HT,#ef964e
1,0,PHN66,56073,652006,LH123HT,#ef964e
1,0,PHN73,56073,652006,LH123HT,#ef964e
1,0,282set_A654,56073,652006,LH123HT,#ef964e
1,0,282set_K55,56073,652006,LH123HT,#ef964e
1,0,282set_MO1W,56073,652006,LH123HT,#ef964e
1,0,282set_Wf9,56073,652006,LH123HT,#ef964e
1,0,A554,56073,652006,LH123HT,#ef964e
1,0,CM105,56073,652006,CM105,#8b0017
1,0,779,56073,652006,CM105,#8b0017
1,0,1538,56073,652006,CM105,#8b0017
1,0,PHK05,56073,652006,CM105,#8b0017
1,0,282set_CMV3,56073,652006,CM105,#8b0017
1,0,282set_MS1334,56073,652006,CM105,#8b0017
